time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,1.18682041869e-09,0.0059995871349,7.01773877772,6.2831764654,6.28318393412,0.0,1.18818323874e-07,0.0999857295382,0.39124597803,-0.000443757677268,-6.86966547854e-05,0.0,465.2854383920411,465.2800616194394,464.7634997939538,464.72872747888744
0.12000000000000001,-5.94603082941e-07,0.0119980605945,7.05022602813,6.28271655927,0.000428285256487,0.0,-5.18465099005e-05,0.0999401909077,0.691529456723,-0.0288164120503,0.0186888323869,0.0,496.0852341954273,497.46036374582945,497.47048832822816,495.38898209781166
0.18,-1.77314237031e-05,0.0179774500738,7.0950071296,6.28072971736,0.00097714895379,0.0,-0.000624863764208,0.0991825215096,0.801102895544,-0.0435052381964,-0.0284608730709,0.0,442.80355452596245,438.9082458155196,440.61813982625813,439.4017884229165
0.23999999999999996,-6.74525754344e-05,0.0238761588496,7.14341550398,6.27897924008,6.28279850775,0.0,-0.00089771155176,0.0972556791123,0.812501086005,-0.00991847805631,-0.0132141061145,0.0,407.990023800438,409.34874146631887,406.81233496621564,409.8077453253017
0.3,-0.000110784624452,0.0296228979084,7.19491959842,6.27818655279,6.28233777952,0.0,-0.000485391992403,0.0942337245162,0.904233300701,-0.0207803636415,0.00157044425247,0.0,434.45780081957514,435.69557189486176,435.2933929402256,434.38370493549724
0.36000000000000004,-0.000121021458263,0.0351575394489,7.25425006405,6.27676379198,6.28241367721,0.0,0.00013449075875,0.090106204563,1.07330458399,-0.0303377511348,0.000646835747327,0.0,459.28785108239447,459.21457413572807,459.39952147181634,458.6411090492118
0.4200000000000001,-9.59286250642e-05,0.0404151617256,7.32313027308,6.27577383199,6.28223157749,0.0,0.000708271646913,0.0850050911408,1.22255365992,0.00229929487433,-0.011661661502,0.0,453.63573105596487,452.64645550887036,452.38991870588285,455.0099489089585
0.48000000000000015,-3.17603687668e-05,0.0453558283974,7.40038282195,6.27581728453,6.2825880634,0.0,0.00143482767119,0.0796949019733,1.35238661184,-0.00262860885755,0.0280239359866,0.0,445.76576555740115,448.9967075899368,448.33745349461384,447.9369182837107
0.5400000000000001,6.12437265369e-05,0.0499610433356,7.48767217125,6.27556098621,0.000883561055992,0.0,0.00147828826531,0.0737902424789,1.55700236724,-0.00777894611813,0.0169761445765,0.0,471.0117425099155,470.15669990340547,471.0296133072088,470.6312666680935
0.6000000000000002,0.000126268545103,0.0542172337195,7.58559208287,6.27497519832,0.00161541960314,0.0,0.000591187741534,0.0680273374479,1.7067826351,-0.0140603248265,0.000332225076765,0.0,455.51623733082056,454.1833128465123,454.96425692093914,454.4612252786366
0.6600000000000003,0.000121070282344,0.0580891523561,7.69536696857,6.27403086101,0.00118226483299,0.0,-0.000747791812009,0.0609298564916,1.95199404044,-0.0193272360641,-0.0299786687347,0.0,484.68158554398326,482.3984062061194,483.70046067170495,483.3038018793587
0.7200000000000003,5.67055952359e-05,0.0615335448139,7.81738542401,6.27305222423,6.28285824541,0.0,-0.0012149146325,0.0537676735304,2.11499987507,-0.0108732444655,-0.0169292227763,0.0,459.17100304412133,460.20489870420687,460.150044183093,460.8188508360447
0.7800000000000004,-3.46739306568e-06,0.0645078561945,7.95118826588,6.27266259443,6.28152472795,0.0,-0.000652356633429,0.0453190185816,2.34465250262,0.00107551606658,-0.0357761001284,0.0,481.38063266791744,479.9523918358337,479.70817671829604,480.6147047564905
0.8400000000000004,8.07063927981e-06,0.0669679303745,8.0988331992,6.2726651213,6.27900176303,0.0,0.00131397264403,0.0366929834374,2.57635240828,-0.00210941903957,-0.0591407504452,0.0,482.41558969543047,480.6472368162439,482.40774107111804,482.1671953123562
0.9000000000000005,0.000190929329577,0.0689428587896,8.25722936481,6.27240437791,6.27517895235,0.0,0.00516819177769,0.0291211324442,2.70322625818,-0.00924260786272,-0.0749320064054,0.0,452.2288659947427,450.95212652868724,451.990132177626,451.41497862386115
0.9600000000000005,0.000660010297717,0.0704939651233,8.41980973574,6.27222499425,6.27116182986,0.0,0.0108436948174,0.0225522274537,2.71608501744,0.00724991726887,-0.0544836463119,0.0,415.014148046138,416.8012177512781,414.6633529472078,416.1096957079397
1.0200000000000005,0.00155421036335,0.0716370658468,8.58440556626,6.27234999723,6.26791856104,0.0,0.0192713522668,0.015582051116,2.77030878665,-0.0110372996693,-0.0532099988207,0.0,429.27195003496286,429.37796211268005,430.19176777580844,428.6404767043408
1.0800000000000005,0.00306490365043,0.0723281557432,8.75532377584,6.272505405,6.26426542585,0.0,0.031447614409,0.00744024722043,2.92657178785,0.0211906637961,-0.0842624687765,0.0,462.43034026061736,459.9749162197034,460.7070951116666,463.248235290695
1.1400000000000006,0.00539023579108,0.0725438424892,8.93533601758,6.27362384498,6.25896803422,0.0,0.0466178773213,-0.000115677978014,3.07344249945,0.0129791405979,-0.0978846889939,0.0,459.28624202775467,458.19824501537437,460.7199958684441,460.0702285827079
1.2000000000000006,0.00870619781327,0.0723436083781,9.12260215421,6.27435235636,6.25344710791,0.0,0.06448235,-0.00647976952226,3.16848836755,0.0104124128058,-0.0823068098029,0.0,444.1139606128319,445.3826115747691,444.17332925806227,443.96265626421257
1.2600000000000007,0.0131165297411,0.071800823357,9.31270806386,6.27476156864,6.24824844202,0.0,0.0829690032592,-0.0115667717803,3.16836084804,-0.00155868864937,-0.0971484784377,0.0,414.7386046812273,413.42600296985444,414.5748676174906,413.52155842886884
